customer_id,member_type,region_1,region_2
28572c48c939,비회원,경기,포천시
2900c353fc54,비회원,전북특별자치도,전주시
4d7052f11fe3,비회원,전북특별자치도,순창군
2ecf7a9b9fa3,비회원,강원특별자치도,횡성군
b6838ed86812,비회원,전남,담양군
9e8a9fc8b449,비회원,충북,청주시
681f8e93be4d,비회원,경북,경주시
7b028c9a8ef2,비회원,서울,동
3fbdf8e55dd5,비회원,서울,서초구
33bca529674f,비회원,경기,의정부시
d2be122364ff,비회원,서울,노원구
f2e35a1ae4e2,비회원,경남,양산시
e7ddf6965283,비회원,울산,동
060fc0a5539f,비회원,대전,동
1a44b39d45b9,비회원,경기,하남시
b28aded6ac9d,비회원,경기,화성시
b527120a19cf,비회원,경남,창원시
26025dec37e4,비회원,부산,부산진구
df6d985174fe,비회원,경남,김해시
cf15e4dd8115,비회원,인천,미추홀구
6ad47770a783,비회원,경기,용인시
a16c4b59c7b0,비회원,부산,동
15e5cdfa5a30,비회원,인천,서구
50ac4ebe6aa1,비회원,대전,유성구
26b4a10755fd,비회원,경기,광주시
6be4d300d8d5,비회원,부산,남구
cff235209a3e,비회원,경남,양산시
4efb861bf89f,비회원,서울,금천구
369246065cf0,비회원,경기,의정부시
8828b3b4cb09,비회원,경남,통영시
d1d2faaa515a,비회원,경기,수원시
c6647a08c4e3,비회원,충남,태안군
4af56ef636c9,비회원,경기,김포시
559e1d8eefe6,비회원,광주,광산구
3afd479a7c60,비회원,대구,중구
8208aa87abfe,비회원,경기,안양시
789f973cfb5e,비회원,부산,영도구
e9fb5cb2f7e0,비회원,울산,남구
66c96e7e4e3c,비회원,경기,광주시
77d887319415,비회원,경기,오산시
8096db70e553,비회원,부산,서구
27f5dd2258ed,비회원,서울,서대문구
284d05f6f5e8,비회원,경기,파주시
078d827a9a1c,비회원,경기,파주시
11c85a44ee92,비회원,부산,영도구
c10a8ad24efa,비회원,서울,성동
deecd61d852d,비회원,부산,남구
5aa7562cda8d,비회원,강원특별자치도,강릉시
29109f2fca99,비회원,전남,고흥군
6eecc584be30,비회원,인천,부평구
fea66c0a0abb,비회원,경기,파주시
cf55dc271ff8,비회원,울산,동
d0e546b67664,비회원,울산,동
6c0d9a3a59f1,비회원,경기,광주시
eea747ca4219,비회원,충북,충주시
070018a416a2,비회원,대구,달성군
a8ad87cb8702,비회원,서울,관악구
ae01149e70ee,비회원,경기,파주시
1098439af548,비회원,서울,강남구
2a5cd8d5df07,비회원,부산,북구
71433a79a3f0,비회원,부산,강서구
c0b902a15832,비회원,강원특별자치도,강릉시
8d311f7bc6ec,비회원,경남,양산시
66fcf2c08665,비회원,경기,부천시
6d6f86e53dd6,비회원,인천,남동
64bb28912f17,비회원,경기,김포시
edec94aa1bb4,비회원,서울,중랑구
465daecbf998,비회원,인천,미추홀구
9eccd96950be,비회원,경기,고양시
b2f08ef9b171,비회원,서울,도봉구
aa1a0d70a5a8,비회원,경기,양주시
d3f25a8e6783,비회원,서울,강동
fa0440833ac5,비회원,대구,달서구
6309e7930229,비회원,강원특별자치도,춘천시
